products_model,categories_name,products_name,slug,image,products_description,,
J-19,Prayer Ropes,100 Knot Prayer Rope,100-Knot-Prayer-Rope,j019.jpg,Wool.,,
J-49,Prayer Ropes,50 Knot Prayer Rope,50-Knot-Prayer-Rope,j049.jpg,Wool.,,
A-159,A,Abo the Perfumer,Abo-the-Perfumer,A-159-Icon-St-Abo-of-Baghdad.png,"<b>Saint Abo the Perfumer of Baghdad</b><p>The 8 x 10 mounted icons are the standard size. All enlargements and reductions listed in the drop-down list are special orders and require up to four weeks to complete.</p>
<p>See <a href=""http://tyoos.org/Lives-of-Saints/January/Jan-8/St-Abo-the-Perfumer.html"" target=""_blank"">www.tyoos.org</a> about this icon.</p>",,
A-202,A,Abraham the Patriarch,Abraham-the-Patriarch,A-202_Patriarch_Abraham.png,"<b>Holy Patriarch Abraham</b>
<p />
A young boy in the bosom of Abraham holds a scroll with the Psalmic verse ""Yonder is Benjamin the Younger in rapture...""<p>The 8 x 10 mounted icons are the standard size. All enlargements and reductions listed in the drop-down list are special orders and require up to four weeks to complete.</p>
<p>See <a href=""http://tyoos.org/Lives-of-Saints/October/Oct-9/Patriarch-Abraham-and-Lot.html"" target=""_blank"">www.tyoos.org</a> about this icon.</p>",,
A-393,A,Abraham the Patriarch (and his son Isaac),Abraham-the-Patriarch-and-his-son-Isaac,A-393_Icon_Sacrifice_of_Abraham.png,"<b>Sacrifice of Abraham</b><p>The 8 x 10 mounted icons are the standard size. All enlargements and reductions listed in the drop-down list are special orders and require up to four weeks to complete.</p>
<p>See <a href=""http://tyoos.org/Lives-of-Saints/October/Oct-9/Patriarch-Abraham-and-Lot.html"" target=""_blank"">www.tyoos.org</a> about this icon.</p>",,
L-13,II (Better Incense),Acacia,Acacia,L013-Acacia.jpg,<p>Acacia trees grow in profusion in the Holy Land along the banks of the Jordan. In the spring the trees are covered with tiny yellow flowers that yield a very sweet fragrance the basis of this incense.</p>,,
A-444,A,Adam,Adam,A444_Forefather_Adam.png,"<b>Our Forefather Adam</b>
<p>The 8 x 10 mounted icons are the standard size. All enlargements and reductions listed in the drop-down list are special orders and require up to four weeks to complete.</p>
<p>See <a href=""http://tyoos.org/Lives-of-Saints/December/Dec-December-18-to-24.html"" target=""_blank"">www.tyoos.org</a> about this icon.</p>",,
A-345,A,African Martyrs (SS Sophia & Irene),African-Martyrs-SS-Sophia-and-Irene,A-345-Icon-SS-Sophia-Irene.png,"<p>The 8 x 10 mounted icons are the standard size. All enlargements and reductions listed in the drop-down list are special orders and require up to four weeks to complete.</p>
<p>See <a href=""http://tyoos.org/Lives-of-Saints/September/Sept-18/SS-Sophia-and-Irene.html"" target=""_blank"">www.tyoos.org</a> about this icon.</p>",,
B-4,Other,"Against False Union, Paper bound",Against-False-Union-Paper-bound,b004.jpg,"<b>Against False Union</b> <br />
<em>Alexander Kalomiros with a prologue by Photios Kontoglou translated from the Greek by George Gabriel.<br />
Saint Nectarios Press. 1990.<br />
Sewn paperback. 184 pages. </em>
<p />
<em>Against False Union</em> was first published in 1967 and is still of value today. A revised appendix which includes such articles as <em>Is the Papacy a Church?</em> <em>The Form of Holy Baptism</em>  and <em>New Age Bishops</em> (part of which compares passages of the Koran with passages of the New Testament) was added for this edition.
<p style=""color:red;font-size:14pt;"">Out of print.</p>",,
A-454,A,Agatha of Sicily,Agatha-of-Sicily,A454_St_Agatha.png,"<b>St. Agatha of Sicily</b>
<p>The 8 x 10 mounted icons are the standard size. All enlargements and reductions listed in the drop-down list are special orders and require up to four weeks to complete.</p>
<p>See <a href=""http://tyoos.org/Lives-of-Saints/February/Feb-5/St-Agatha-of-Sicily.html"" target=""_blank"">www.tyoos.org</a> about this icon.</p>",,
A-23,A,Agnes,Agnes,A-23-Icon-St-Agnes.png,"<b>Saint Agnes</b><p>The 8 x 10 mounted icons are the standard size. All enlargements and reductions listed in the drop-down list are special orders and require up to four weeks to complete.</p>
<p>See <a href=""http://tyoos.org/Lives-of-Saints/January/Jan-21/St-Agnes-of-Rome.html"" target=""_blank"">www.tyoos.org</a> about this icon.</p>",,
A-1,Christ,Agony of Christ,Agony-of-Christ,A-1_Agony_of_Christ.png,"<p>The 8 x 10 mounted icons are the standard size. All enlargements and reductions listed in the drop-down list are special orders and require up to four weeks to complete.</p>
<p>See <a href=""http://tyoos.org/Feasts-and-Saints-of-the-Day/Triodion/holy-thursday.html"" target=""_blank"">www.tyoos.org</a> about this icon.</p>",,
A-358,A,Aidan of Lindisfarne,Aidan-of-Lindisfarne,A-358-St-Aidan-of-Lindisfarne.png,"<b>Saint Aidan of Lindisfarne</b><p>The 8 x 10 mounted icons are the standard size. All enlargements and reductions listed in the drop-down list are special orders and require up to four weeks to complete.</p>
<p>See <a href=""http://tyoos.org/Lives-of-Saints/August/Aug-31/St-Aidan-of-Lindisfarne.html"" target=""_blank"">www.tyoos.org</a> about this icon.</p>",,
A-326,A,"Aithalas, Akepsimas, & Joseph",Aithalas-Akepsimas-and-Joseph,A-326-Icon-SS-Acepsimas-et-al.png,"<b>Saints Aithalas Akepsimas and Joseph</b><p>The 8 x 10 mounted icons are the standard size. All enlargements and reductions listed in the drop-down list are special orders and require up to four weeks to complete.</p>
<p>See <a href=""http://tyoos.org/Lives-of-Saints/November/Nov-3/SS-Acepsimas-et-al.html"" target=""_blank"">www.tyoos.org</a> about this icon.</p>",,
A-392,Mother of God,Akathist Hymn,Akathist-Hymn,A-392-Icon-Akathist-Hymn.png,"<p>The 8 x 10 mounted icons are the standard size. All enlargements and reductions listed in the drop-down list are special orders and require up to four weeks to complete.</p>
<p>See <a href=""http://tyoos.org/Feasts-and-Saints-of-the-Day/Triodion/saturday-of-akathist.html"" target=""_blank"">www.tyoos.org</a> about this icon.</p>",,
A-247,A,Alban,Alban,A-247-Icon-St-Alban.png,"<b>Saint Alban</b><p>The 8 x 10 mounted icons are the standard size. All enlargements and reductions listed in the drop-down list are special orders and require up to four weeks to complete.</p>
<p>See <a href=""http://tyoos.org/Lives-of-Saints/June/Jun-22/St-Alban.html"" target=""_blank"">www.tyoos.org</a> about this icon.</p>",,
A-134,A,"Alexander, Patriarch of Constantinople",Alexander-Patriarch-of-Constantinople,A-134-Icon-St-Alexander.png,"<b>Saint Alexander Patriarch of Constantinople</b><p>The 8 x 10 mounted icons are the standard size. All enlargements and reductions listed in the drop-down list are special orders and require up to four weeks to complete.</p>
<p>See <a href=""http://tyoos.org/Lives-of-Saints/August/Aug-30/St-Alexander-Constantinople.html"" target=""_blank"">www.tyoos.org</a> about this icon.</p>",,
A-360,A,Alexandra the Queen,Alexandra-the-Queen,A-360_Icon_St_Alexandra_the_Queen.png,"<b>Saint Alexandra the Queen</b><p>The 8 x 10 mounted icons are the standard size. All enlargements and reductions listed in the drop-down list are special orders and require up to four weeks to complete.</p>
<p>See <a href=""http://tyoos.org/Lives-of-Saints/April/Apr-23/Holy-Great-Martyr-George.html"" target=""_blank"">www.tyoos.org</a> about this icon.</p>",,
A-179,A,Alexis the Man of God,Alexis-the-Man-of-God,A-179-Icon-St-Alexis-Man-of-God.png,"<b>Saint Alexis the Man of God</b><p>The 8 x 10 mounted icons are the standard size. All enlargements and reductions listed in the drop-down list are special orders and require up to four weeks to complete.</p>
<p>See <a href=""http://tyoos.org/Lives-of-Saints/March/Mar-17/St-Alexis-Man-of-God.html"" target=""_blank"">www.tyoos.org</a> about this icon.</p>",,
A-241,A,Alipy the Iconographer,Alipy-the-Iconographer,A-241-Icon-St-Alypius.png,"<b>Saint Alipy the Iconographer</b><p>The 8 x 10 mounted icons are the standard size. All enlargements and reductions listed in the drop-down list are special orders and require up to four weeks to complete.</p>
<p>See <a href=""http://tyoos.org/Lives-of-Saints/August/Aug-17/St-Alypius-Kiev-Caves.html"" target=""_blank"">www.tyoos.org</a> about this icon.</p>",,
A-383,Mother of God,All-hymned Mother,All-hymned-Mother,A-383_Icon_Theotokos_All-hymned_Mother.png,<b>O All-hymned Mother</b><p>The 8 x 10 mounted icons are the standard size. All enlargements and reductions listed in the drop-down list are special orders and require up to four weeks to complete.</p>,,
A-283,A,All Saints,All-Saints,A-283-Icon-All-Saints.png,"<p>The 8 x 10 mounted icons are the standard size. All enlargements and reductions listed in the drop-down list are special orders and require up to four weeks to complete.</p>
<p>See <a href=""http://tyoos.org/Feasts-and-Saints-of-the-Day/Pentecostarion/all-saints.html"" target=""_blank"">www.tyoos.org</a> about this icon.</p>
<p>Click <a href=""pdfs/All-Saints-Icon-Key.pdf"">here</a> for a list of the Saints on this icon.</p>",,
A-24,A,Ambrose,Ambrose,A-24_St_Ambrose.png,"<b>Saint Ambrose of Milan</b><p>The 8 x 10 mounted icons are the standard size. All enlargements and reductions listed in the drop-down list are special orders and require up to four weeks to complete.</p>
<p>See <a href=""http://tyoos.org/Lives-of-Saints/December/Dec-7/St-Ambrose-of-Milan.html"" target=""_blank"">www.tyoos.org</a> about this icon.</p>",,
A-296,A,Amvrosy of Optina,Amvrosy-of-Optina,A-296_Icon_St_Ambrose_of_Optina.png,"<b>Saint Amvrosy of Optina</b><p>The 8 x 10 mounted icons are the standard size. All enlargements and reductions listed in the drop-down list are special orders and require up to four weeks to complete.</p>
<p>See <a href=""http://tyoos.org/Lives-of-Saints/October/Oct-10/synaxis-elders-optina.html"" target=""_blank"">www.tyoos.org</a> about this icon.</p>",,
A-25,A,Anastasia,Anastasia,A-25-Icon-St-Anastasia.png,"<b>Saint Anastasia the Deliverer from Potions</b><p>The 8 x 10 mounted icons are the standard size. All enlargements and reductions listed in the drop-down list are special orders and require up to four weeks to complete.</p>
<p>See <a href=""http://tyoos.org/Lives-of-Saints/December/Dec-22/St-Anastasia.html"" target=""_blank"">www.tyoos.org</a> about this icon.</p>",,
L-31,III (Best Incense),Anatolian Rose,Anatolian-Rose,L031-AnatolianRose.jpg,A full and complex rose fragrance. The classic white rose. Rose essence from Asia Minor is rare and costly second only to Bulgarian rose.,,
A-363,A,Anatoly of Optina,Anatoly-of-Optina,A-363-Icon-Saint-Anatoly-of-Optina.png,"<b>Saint Anatoly of Optina</b><p>The 8 x 10 mounted icons are the standard size. All enlargements and reductions listed in the drop-down list are special orders and require up to four weeks to complete.</p>
<p>See <a href=""http://tyoos.org/Lives-of-Saints/October/Oct-10/synaxis-elders-optina.html"" target=""_blank"">www.tyoos.org</a> about this icon.</p>",,
A-144,A,Andrew the Commander,Andrew-the-Commander,A-144-Icon-St-Andrew-Commander.png,"<b>Saint Andrew the Commander</b><p>The 8 x 10 mounted icons are the standard size. All enlargements and reductions listed in the drop-down list are special orders and require up to four weeks to complete.</p>
<p>See <a href=""http://tyoos.org/Lives-of-Saints/August/Aug-19/St-Andrew-the-Commander.html"" target=""_blank"">www.tyoos.org</a> about this icon.</p>",,
A-26,A,Andrew the First-called,Andrew-the-First-called,A-26_St_Andrew.png,"<b>Saint Andrew the First-called</b><p>The 8 x 10 mounted icons are the standard size. All enlargements and reductions listed in the drop-down list are special orders and require up to four weeks to complete.</p>
<p>See <a href=""http://tyoos.org/Lives-of-Saints/November/Nov-30/St-Andrew.html"" target=""_blank"">www.tyoos.org</a> about this icon.</p>",,
A-27,A,Anna,Anna,A-27_Icon-St-Anna.png,"<b>Saint Anna</b><p>The 8 x 10 mounted icons are the standard size. All enlargements and reductions listed in the drop-down list are special orders and require up to four weeks to complete.</p>
<p>See <a href=""http://tyoos.org/Lives-of-Saints/July/Jul-25/St-Anna.html"" target=""_blank"">www.tyoos.org</a> about this icon.</p>",,
M-663,Medals,Anna / Guardian Angel Medal,Anna-Guardian-Angel-Medal,"m663-front.JPG, m663-back.JPG","<b>Saint Anna / Guardian Angel Medal</b>
<br />
Saint Anna the Mother of the Theotokos is on the front and an icon of the Guardian Angel is on the back.",,
D-68,A,Anna lithographed print (wallet size),Anna-wallet-size,A027.jpg,"<b>Saint Anna lithographed print</b><br />
2 x 3-&frac12; inches<br />
<p>See <a href=""http://tyoos.org/Lives-of-Saints/July/Jul-25/St-Anna.html"" target=""_blank"">www.tyoos.org</a> about this icon.</p>",,
A-141,Mother of God,Annunciation,Annunciation,A-141_Icon_Annunciation.png,"<p>The 8 x 10 mounted icons are the standard size. All enlargements and reductions listed in the drop-down list are special orders and require up to four weeks to complete.</p>
<p>See <a href=""http://tyoos.org/Lives-of-Saints/March/Mar-25/Annunciation.html"" target=""_blank"">www.tyoos.org</a> about this icon.</p>",,
A-163,Great Feast,Annunciation to the Theotokos,Annunciation-to-the-Theotokos,A-163-Icon-Annunciation.png,"The <i>Annunciation to the Theotokos</i> icon belongs to the Great Feast set. Each of the icons in the Great Feast set when purchased individually are sold for the standard price of an 11 x 14 enlargement.  The entire set of Great Feast icons when purchased as a set comes with a discount.  <a href=""http://www.bostonmonks.com/product_info.php/products_id/898"">See here</a> for 11 x 14 <a href=""http://www.bostonmonks.com/product_info.php/products_id/145"">see here</a> for 8 x 10.

<p>The 8 x 10 mounted icons are the standard size. All enlargements besides
the 11 x 14 size and reductions listed in the drop-down list are
special orders and require up to four weeks to complete.</p>
<p>See <a href=""http://tyoos.org/Lives-of-Saints/March/Mar-25/Annunciation.html"" target=""_blank"">www.tyoos.org</a> about this icon.</p>",,
