sku,specification,weight,restock_point,target_amount,price
B-30,,1.1,0,0,16
B-36,,0.72,0,0,18
B-9,,1.41,0,0,35
B-45,,35.83,0,0,1200
B-3,,0.63,0,0,16
B-26,,3.59,0,0,100
B-25,,0.9,0,0,25
B-10,,1.31,0,0,30
B-17,,1.04,0,0,12
B-35,,0.14,0,0,6
B-29,,0.4,0,0,40
B-14,,0.81,0,0,15
B-15,,0.37,0,0,12
B-32,,0.21,0,0,7
B-33,,1.24,0,0,16
B-23,,2.5,0,0,70
B-24,,0.15,0,0,10
B-46,,0.94,0,0,22
B-47,,0.5,0,0,18
B-42,,0.29,0,0,12.5
B-44,,0.13,0,0,6
B-49,,0.38,0,0,18
B-50,,0.41,0,0,18
B-51,,1.69,0,0,27
B-53,,2.28,0,0,75
B-54,,1.61,0,0,32
B-56,,0.92,0,0,16
B-57,,5.18,0,0,125
B-58,,2.88,0,0,75
B-59,,3.13,0,0,75
B-61,,1,0,0,26
B-62,,0.76,0,0,16
B-503,,1.11,0,0,90
B-504,,0.91,0,0,90
B-505,,1.5,0,0,65
B-60,,4.42,0,0,150
J-4,,0.59,0,0,11
J-3,,0.84,0,0,14
J-47,,1.23,0,0,15
J-65,,0.9,0,0,21
J-44,,0.79,0,0,14
J-53,,0.49,0,0,11
J-23,,0.66,0,0,300
J-22,,1.02,0,0,300
J-21,,0.58,0,0,300
J-17,,0.03,0,0,22
J-50,,0.11,0,0,200
J-51,,0.11,0,0,260
J-10,,0.3,0,0,15
J-18,,0.03,0,0,20
B-40,,1.44,0,0,40
H-260,,0.21,0,0,20
H-189,,0.16,0,0,16
H-191,,0.22,0,0,16
H-192,,0.2,0,0,16
H-222,,0.21,0,0,18
H-123,,0.56,0,0,10
H-124,,0.6,0,0,35
H-179,,0.64,0,0,25
H-250,,0.33,0,0,18
H-238,,0.22,0,0,18
H-251,,0.25,0,0,18
H-235,,0.25,0,0,18
H-236,,0.24,0,0,18
H-227,,0.24,0,0,18
H-261,,0.28,0,0,24
H-263,,0.23,0,0,18
J-37,,0.03,0,0,0.4
J-8,,0.01,0,0,3
J-73,,0.11,0,0,30
J-70,,0.05,0,0,8
J-36,,0.03,0,0,4
J-9,,0.01,0,0,1.5
J-19,,0.04,0,0,30
J-49,,0.02,0,0,20
J-30,,0.09,0,0,10
J-26,,0.09,0,0,12
J-31,,0.09,0,0,10
J-32,,0.09,0,0,12
J-33,,0.09,0,0,12
J-63,,0.11,0,0,18
J-34,,0.09,0,0,12
J-52,,0.56,0,0,18
J-1,,2.5,0,0,26.5
J-66,,0.71,0,0,21
J-39,,0.22,0,0,3
R-26,,6.6,4,8,140
R-28,,2.16,7,13,75
R-22,,0.5,8,30,12
R-24,,0.43,20,50,12
R-20,,0.38,10,30,12
R-27,,0.38,8,30,12
R-30,,0.31,8,30,12
