sku,specification,weight,restock_point,target_amount,price,type
M-203J, 14k gold,5.44,0,0,600,
M-204J, 14k gold,3.95,0,0,350,
M-207J, 14k gold,2.11,0,0,300,
M-208J, 14k gold,1.4,0,0,200,
M-211J, 14k gold,1.23,0,0,240,
M-222J, 14k gold,0.53,0,0,115,
M-223J, 14k gold,0.88,0,0,150,
M-225J, 14k gold,2.11,0,0,300,
M-226J, 14k gold,2.9,0,0,380,
M-227J, 14k gold,5,0,0,460,
M-228J, 14k gold,6.58,0,0,595,
M-232J, 14k gold,1.49,0,0,145,
M-236J, 14k gold,2.46,0,0,340,
M-237J, 14k gold,1.23,0,0,190,
M-243J, 14k gold,2.98,0,0,400,
M-244J, 14k gold,3.69,0,0,500,
M-245J, 14k gold,2.11,0,0,280,
M-246J, 14k gold,3.16,0,0,420,
M-249J, 14k gold,5.97,0,0,500,
M-250J, 14k gold,2.81,0,0,360,
M-252J, 14k gold,1.93,0,0,270,
M-401J, 14k gold,2.46,0,0,325,
M-450J, 14k gold,0.02,0,0,335,
M-451J, 14k gold,0.1,0,0,340,
M-470J, 14k gold,0.1,0,0,410,
M-471J, 14k gold,0.1,0,0,420,
M-475J, 14k gold,0.16,0,0,300,
M-477J, 14k gold,0.16,0,0,325,
M-640J, 14k gold,1.67,0,0,240,
M-641J, 14k gold,0.7,0,0,140,
M-653J, 14k gold,2.63,0,0,390,
M-662J, 14k gold,0,0,0,300,
M-663J, 14k gold,0,0,0,275,
M-23A,Bronze,0,0,0,585,
M-40A,Bronze,1.6,0,0,85,
M-50A,Bronze,2,0,0,115,
M-51A,Bronze,1.6,0,0,70,
M-52A,Bronze,1.9,0,0,110,
M-57A,Bronze,4.8,0,0,145,
M-58A,Bronze,1.3,0,0,160,
D-31,Hard plastic lamination,0.16,10,25,1.5,
D-35,Hard plastic lamination,0.16,10,20,1.5,
D-37,Hard plastic lamination,0.16,10,20,1.5,
D-39,Hard plastic lamination,0.16,10,20,1.5,
D-48,Hard plastic lamination,0.16,10,20,1.5,
D-49,Hard plastic lamination,0.16,10,20,1.5,
D-52,Hard plastic lamination,0.16,10,20,1.5,
D-54,Hard plastic lamination,0.16,10,20,1.5,
D-60,Hard plastic lamination,0.16,10,20,1.5,
D-65,Hard plastic lamination,0.16,10,20,1.5,
D-69,Hard plastic lamination,0.16,10,20,1.5,
D-70,Hard plastic lamination,0.16,10,20,1.5,
D-71,Hard plastic lamination,0.16,10,20,1.5,
D-76,Hard plastic lamination,0.16,10,20,2,
D-79,Hard plastic lamination,0.16,10,20,2,
D-85,Hard plastic lamination,0.16,0,0,1.5,
D-86,Hard plastic lamination,0.16,0,0,1.5,
D-87,Hard plastic lamination,0.16,0,0,1.5,
D-88,Hard plastic lamination,0.16,0,0,1.5,
D-91,Hard plastic lamination,0.16,0,0,1.5,
D-93,Hard plastic lamination,0.16,0,0,1.5,
D-10,Mounted on wood,6,10,30,12,
D-23,Mounted on wood,4.8,10,20,12,
D-28,Mounted on wood,4.7,15,30,12,
D-30,Mounted on wood,8.6,5,10,20,
D-32,Mounted on wood,4.6,25,50,12,
D-41,Mounted on wood,4.1,15,40,12,
D-66,Mounted on wood,7,40,60,12,
D-67,Mounted on wood,7,40,60,12,
D-74,Mounted on wood,4.9,20,50,12,
D-83,Mounted on wood,5.1,10,30,12,
D-90,Mounted on wood,12,15,30,12,
D-27P,Plain print,0.04,0,0,0.2,
D-28P,Plain print,0.09,0,0,0.6,
D-30P,Plain print,0.09,0,0,0.75,
D-31P,Plain print,0.04,0,0,0.2,
D-35P,Plain print,0.04,0,0,0.2,
D-37P,Plain print,0.04,0,0,0.2,
D-39P,Plain print,0.04,0,0,0.2,
D-41P,Plain print,0.09,0,0,0.6,
D-42P,Plain print,0.04,0,0,0.2,
D-45P,Plain print,0.04,0,0,0.2,
D-48P,Plain print,0.04,0,0,0.2,
D-49P,Plain print,0.04,0,0,0.2,
D-52P,Plain print,0.04,0,0,0.2,
D-54P,Plain print,0.04,0,0,0.2,
D-56P,Plain print,0.04,0,0,5,
D-60P,Plain print,0.04,0,0,0.2,
D-61P,Plain print,0.04,0,0,0.2,
D-63P,Plain print,0.04,0,0,0.2,
D-64P,Plain print,0.04,0,0,0.2,
D-65P,Plain print,0.04,0,0,0.2,
D-66P,Plain print,0.09,0,0,0.6,
D-67P,Plain print,0.09,0,0,0.6,
D-68P,Plain print,0.04,0,0,0.2,
D-69P,Plain print,0.04,0,0,0.2,
D-70P,Plain print,0.09,0,0,0.2,
D-71P,Plain print,0.04,0,0,0.2,
D-74P,Plain print,0.04,0,0,0.6,
D-76P,Plain print,0.09,0,0,0.4,
D-79P,Plain print,0.09,0,0,0.4,
D-83P,Plain print,0.09,2500,37500,0.6,
D-84P,Plain print,0.04,1000,100000,0.2,
D-85P,Plain print,0.04,1000,18000,0.2,
D-86P,Plain print,0.01,500,12000,0.2,
D-87P,Plain print,0.04,0,0,0.2,
D-88P,Plain print,0.2,0,0,0.2,
D-90P,Plain print,1,0,0,0.6,
D-91P,Plain print,0.3,0,0,0.2,
D-93P,Plain print,0.5,0,0,0.2,
M-203E,Sterling silver,4.48,0,0,90,
M-204E,Sterling silver,3.07,0,0,85,
