sku,specification,weight,restock_point,target_amount,price
A-1.5x7M,"7"" x 5⅝""",9.208288528,0,0,32
A-1.5x7P,"7"" x 5⅝"" print",0.425385104,0,0,18
A-1,"Standard size 10"" x 8""",25.720367216,5,15,32
A-1P,"Standard size 10"" x 8"" print",0.86813288,5,25,18
A-1.11x14M,"14"" x 11¼""",50.411919744,0,0,75
A-1.11x14P,"14"" x 11¼"" print",1.701540448,0,0,50
A-1.16x20M,"20"" x 16⅛""",102.881468848,0,0,100
A-1.16x20P,"20"" x 16⅛"" print",3.47253152,0,0,75
A-1.20x24M,"24"" x 19¼""",148.149315152,0,0,140
A-1.20x24P,"24"" x 19¼"" print",5.000445376,0,0,100
A-1.24x30M,"30"" x 24⅛""",231.48330496,0,0,190
A-1.24x30P,"30"" x 24⅛"" print",7.81319592,0,0,150
A-1.30x40M,"40"" x 32⅛""",411.52587536,0,0,300
A-1.30x40P,"40"" x 32⅛"" print",13.890126064,0,0,200
A-1.40x50M,"50"" x 40⅛""",643.00918032,0,0,625
A-1.40x50P,"50"" x 40⅛"" print",21.703321984,0,0,425
A-2.5x7M,"7"" x 5½""",9.09538688,0,0,32
A-2.5x7P,"7"" x 5½"" print",0.41995928,0,0,18
A-2,"Standard size 10"" x 7⅞""",25.38821968,5,15,32
A-2P,"Standard size 10"" x 7⅞"" print",0.85705976,5,15,18
A-2.11x14M,"14"" x 11⅛""",49.76091056,0,0,75
A-2.11x14P,"14"" x 11⅛"" print",1.67983712,0,0,50
A-2.16x20M,"20"" x 15⅞""",101.552878688,0,0,100
A-2.16x20P,"20"" x 15⅞"" print",3.428239024,0,0,75
A-2.20x24M,"24"" x 19""",146.236145312,0,0,140
A-2.20x24P,"24"" x 19"" print",4.936664192,0,0,100
A-2.24x30M,"30"" x 23¾""",228.49397712,0,0,190
A-2.24x30P,"30"" x 23¾"" print",7.713537808,0,0,150
A-2.30x40M,"40"" x 31¾""",406.21151472,0,0,300
A-2.30x40P,"40"" x 31¾"" print",13.712956096,0,0,200
A-2.40x50M,"50"" x 39⅝""",634.70549184,0,0,625
A-2.40x50P,"50"" x 39⅝"" print",21.426493888,0,0,425
A-3.5x7M,"5⅜"" x 7""",8.859949328,0,0,32
A-3.5x7P,"5⅜"" x 7"" print",0.408644608,0,0,18
A-3,"Standard size 7¾"" x 10""",24.695581328,5,15,32
A-3P,"Standard size 7¾"" x 10"" print",0.833968608,5,15,18
A-3.11x14M,"10¾"" x 14""",48.403339408,0,0,75
A-3.11x14P,"10¾"" x 14"" print",1.634578464,0,0,50
A-3.16x20M,"15⅜"" x 20""",98.782325328,0,0,100
A-3.16x20P,"15⅜"" x 20"" print",3.3358744,0,0,75
A-3.20x24M,"18½"" x 24""",142.24654848,0,0,140
A-3.20x24P,"18½"" x 24"" print",4.803659152,0,0,100
A-3.24x30M,"23⅛"" x 30""",222.260232,0,0,190
A-3.24x30P,"23⅛"" x 30"" print",7.505717424,0,0,150
A-3.30x40M,"30⅞"" x 40""",395.12930128,0,0,300
A-3.30x40P,"30⅞"" x 40"" print",13.343497632,0,0,200
A-3.40x50M,"38⅝"" x 50""",617.38953328,0,0,625
A-3.40x50P,"38⅝"" x 50"" print",20.849215056,0,0,425
A-4.5x7M,"6⅛"" x 7""",10.072061328,0,0,32
A-4.5x7P,"6⅛"" x 7"" print",0.466896336,0,0,18
A-4,"Standard size 8⅞"" x 10""",28.261517328,2,4,32
A-4P,"Standard size 8⅞"" x 10"" print",0.952849648,3,15,18
A-4.11x14M,"12⅜"" x 14""",55.392573968,0,0,75
A-4.11x14P,"12⅜"" x 14"" print",1.867585328,0,0,50
A-4.16x20M,"17⅝"" x 20""",113.046069328,0,0,100
A-4.16x20P,"17⅝"" x 20"" print",3.811398624,0,0,75
A-4.20x24M,"21⅛"" x 24""",162.78633984,0,0,140
A-4.20x24P,"21⅛"" x 24"" print",5.488414016,0,0,100
A-4.24x30M,"26½"" x 30""",254.353656,0,0,190
A-4.24x30P,"26½"" x 30"" print",8.575646896,0,0,150
A-4.30x40M,"35¼"" x 40""",452.18427728,0,0,300
A-4.30x40P,"35¼"" x 40"" print",15.245594496,0,0,200
A-4.40x50M,"44⅛"" x 50""",706.53793328,0,0,625
A-4.40x50P,"44⅛"" x 50"" print",23.821241392,0,0,425
A-5.5x7M,"4⅞"" x 7""",8.015144,0,0,32
A-5.5x7P,"4⅞"" x 7"" print",0.368044928,0,0,18
A-5,"Standard size 7"" x 10""",22.210232,15,30,32
A-5P,"Standard size 7"" x 10"" print",0.751112112,20,50,18
A-5.11x14M,"9¾"" x 14""",43.53205472,0,0,75
A-5.11x14P,"9¾"" x 14"" print",1.472179744,0,0,50
A-5.16x20M,"13⅞"" x 20""",88.840928,0,0,100
A-5.16x20P,"13⅞"" x 20"" print",3.004448448,0,0,75
A-5.20x24M,"16⅝"" x 24""",127.93093632,0,0,140
A-5.20x24P,"16⅝"" x 24"" print",4.32640576,0,0,100
A-5.24x30M,"20⅞"" x 30""",199.892088,0,0,190
A-5.24x30P,"20⅞"" x 30"" print",6.760008992,0,0,150
A-5.30x40M,"27¾"" x 40""",355.363712,0,0,300
A-5.30x40P,"27¾"" x 40"" print",12.01779376,0,0,200
A-5.40x50M,"34¾"" x 50""",555.2558,0,0,625
A-5.40x50P,"34¾"" x 50"" print",18.777802752,0,0,425
A-6.5x7M,"5½"" x 7""",9.080333328,0,0,32
A-6.5x7P,"5½"" x 7"" print",0.41923584,0,0,18
A-6,"Standard size 7⅞"" x 10""",25.343933328,15,20,32
A-6P,"Standard size 7⅞"" x 10"" print",0.855583344,5,25,18
A-6.11x14M,"11⅛"" x 14""",49.674109328,0,0,75
A-6.11x14P,"11⅛"" x 14"" print",1.676943344,0,0,50
A-6.16x20M,"15⅞"" x 20""",101.375733328,0,0,100
A-6.16x20P,"15⅞"" x 20"" print",3.42233336,0,0,75
A-6.20x24M,"19"" x 24""",145.981056,0,0,140
A-6.20x24P,"19"" x 24"" print",4.928160032,0,0,100
A-6.24x30M,"23¾"" x 30""",228.0954,0,0,190
A-6.24x30P,"23¾"" x 30"" print",7.700250048,0,0,150
A-6.30x40M,"31⅝"" x 40""",405.50293328,0,0,300
A-6.30x40P,"31⅝"" x 40"" print",13.689333424,0,0,200
A-6.40x50M,"39⅝"" x 50""",633.59833328,0,0,625
A-6.40x50P,"39⅝"" x 50"" print",21.389583472,0,0,425
A-7.5x7M,"5⅛"" x 7""",8.492642672,0,0,32
A-7.5x7P,"5⅛"" x 7"" print",0.390992576,0,0,18
A-7,"Standard size 7⅜"" x 10""",23.614994672,4,12,32
A-7P,"Standard size 7⅜"" x 10"" print",0.797944048,5,25,18
A-7.11x14M,"10⅜"" x 14""",46.285389552,0,0,75
A-7.11x14P,"10⅜"" x 14"" print",1.56397032,0,0,50
A-7.16x20M,"14¾"" x 20""",94.459978672,0,0,100
A-7.16x20P,"14¾"" x 20"" print",3.19177616,0,0,75
A-7.20x24M,"17¾"" x 24""",136.02236928,0,0,140
A-7.20x24P,"17¾"" x 24"" print",4.59615768,0,0,100
A-7.24x30M,"22⅛"" x 30""",212.534952,0,0,190
A-7.24x30P,"22⅛"" x 30"" print",7.181496368,0,0,150
A-7.30x40M,"29½"" x 40""",377.83991472,0,0,300
A-7.30x40P,"29½"" x 40"" print",12.76710464,0,0,200
A-7.40x50M,"36⅞"" x 50""",590.37486672,0,0,625
A-7.40x50P,"36⅞"" x 50"" print",19.948601008,0,0,425
A-8.5x7M,"6⅜"" x 7""",10.347541328,0,0,32
A-8.5x7P,"6⅜"" x 7"" print",0.48013536,0,0,18
A-8,"Standard size 9¼"" x 10⅛""",31.7,4,12,32
A-8P,"Standard size 9¼"" x 10⅛"" print",1.0121776,5,15,18
A-8.11x14M,"12¾"" x 14""",56.981036368,0,0,75
A-8.11x14P,"12¾"" x 14"" print",1.920541424,0,0,50
A-8.16x20M,"18⅛"" x 20""",116.287829328,0,0,100
A-8.16x20P,"18⅛"" x 20"" print",3.919472304,0,0,75
A-8.20x24M,"21¾"" x 24""",167.45447424,0,0,140
A-8.20x24P,"21¾"" x 24"" print",5.644040128,0,0,100
A-8.24x30M,"27¼"" x 30""",261.647616,0,0,190
A-8.24x30P,"27¼"" x 30"" print",8.818812688,0,0,150
A-8.30x40M,"36¼"" x 40""",465.15131728,0,0,300
A-8.30x40P,"36¼"" x 40"" print",15.677889232,0,0,200
A-8.40x50M,"45⅜"" x 50""",726.79893328,0,0,625
A-8.40x50P,"45⅜"" x 50"" print",24.49670192,0,0,425
A-9.5x7M,"5⅝"" x 7""",9.17216,0,0,32
A-9.5x7P,"5⅝"" x 7"" print",0.423648848,0,0,18
A-9,"Standard size 8"" x 10""",25.61408,4,12,32
A-9P,"Standard size 8"" x 10"" print",0.864589472,5,25,18
A-9.11x14M,"11¼"" x 14""",50.2035968,0,0,75
A-9.11x14P,"11¼"" x 14"" print",1.694595376,0,0,50
A-9.16x20M,"16"" x 20""",102.45632,0,0,100
A-9.16x20P,"16"" x 20"" print",3.45835792,0,0,75
A-9.20x24M,"19¼"" x 24""",147.5371008,0,0,140
A-9.20x24P,"19¼"" x 24"" print",4.980035408,0,0,100
A-9.24x30M,"24"" x 30""",230.52672,0,0,190
A-9.24x30P,"24"" x 30"" print",7.781305312,0,0,150
A-9.30x40M,"32"" x 40""",409.82528,0,0,300
A-9.30x40P,"32"" x 40"" print",13.833431664,0,0,200
A-9.40x50M,"40"" x 50""",640.352,0,0,625
A-9.40x50P,"40"" x 50"" print",21.614736992,0,0,425
A-10.5x7M,"5⅝"" x 7""",9.153794672,0,0,32
A-10.5x7P,"5⅝"" x 7"" print",0.42276624,0,0,18
A-10,"Standard size 8"" x 10""",25.560050672,15,20,32
A-10P,"Standard size 8"" x 10"" print",0.862788256,5,25,18
A-10.11x14M,"11⅛"" x 14""",50.097699312,0,0,75
A-10.11x14P,"11⅛"" x 14"" print",1.691064976,0,0,50
A-10.16x20M,"16"" x 20""",102.240202672,0,0,100
A-10.16x20P,"16"" x 20"" print",3.451153008,0,0,75
A-10.20x24M,"19⅛"" x 24""",147.22589184,0,0,140
A-10.20x24P,"19⅛"" x 24"" print",4.969660336,0,0,100
A-10.24x30M,"24"" x 30""",230.040456,0,0,190
A-10.24x30P,"24"" x 30"" print",7.765094256,0,0,150
A-10.30x40M,"31⅞"" x 40""",408.96081072,0,0,300
A-10.30x40P,"31⅞"" x 40"" print",13.804612016,0,0,200
A-10.40x50M,"39⅞"" x 50""",639.00126672,0,0,625
A-10.40x50P,"39⅞"" x 50"" print",21.569706288,0,0,425
A-11.5x7M,"6⅛"" x 7""",9.943504,0,0,32
A-11.5x7P,"6⅛"" x 7"" print",0.460718112,0,0,18
A-11,"Standard size 8¾"" x 10""",27.883312,5,15,32
A-11P,"Standard size 8¾"" x 10"" print",0.940241056,5,25,18
A-11.11x14M,"12⅛"" x 14""",54.65129152,0,0,75
A-11.11x14P,"12⅛"" x 14"" print",1.84287248,0,0,50
A-11.16x20M,"17⅜"" x 20""",111.533248,0,0,100
A-11.16x20P,"17⅜"" x 20"" print",3.76096424,0,0,75
A-11.20x24M,"20⅞"" x 24""",160.60787712,0,0,140
A-11.20x24P,"20⅞"" x 24"" print",5.415788496,0,0,100
A-11.24x30M,"26⅛"" x 30""",250.949808,0,0,190
A-11.24x30P,"26⅛"" x 30"" print",8.462169536,0,0,150
A-11.30x40M,"34¾"" x 40""",446.132992,0,0,300
A-11.30x40P,"34¾"" x 40"" print",15.043856944,0,0,200
A-11.40x50M,"43½"" x 50""",697.0828,0,0,625
A-11.40x50P,"43½"" x 50"" print",23.50602648,0,0,425
A-13.5x7M,"7"" x 4¾""",7.776394672,0,0,32
A-13.5x7P,"7"" x 4¾"" print",0.356571104,0,0,18
A-13,"Standard size 10"" x 6¾""",21.507850672,5,15,32
