SKU,name,weight,aspect_ratio,width,height,depth
A-173.5x7M,A-173_Thomas_Sunday,0.567520833,0.791666667,5.541666667,7,0.5
A-173.5x7P,A-173_Thomas_Sunday,0.02620224,0.791666667,5.541666667,7,0.0197
A-173,A-173_Thomas_Sunday,1.583995833,0.791666667,7.916666667,10,0.75
A-173P,A-173_Thomas_Sunday,0.053473959,0.791666667,7.916666667,10,0.0197
A-173.11x14M,A-173_Thomas_Sunday,3.104631833,0.791666667,11.08333333,14,0.75
A-173.11x14P,A-173_Thomas_Sunday,0.104808959,0.791666667,11.08333333,14,0.0197
A-173.16x20M,A-173_Thomas_Sunday,6.335983333,0.791666667,15.83333333,20,0.75
A-173.16x20P,A-173_Thomas_Sunday,0.213895835,0.791666667,15.83333333,20,0.0197
A-173.20x24M,A-173_Thomas_Sunday,9.123816,0.791666667,19,24,0.75
A-173.20x24P,A-173_Thomas_Sunday,0.308010002,0.791666667,19,24,0.0197
A-173.24x30M,A-173_Thomas_Sunday,14.2559625,0.791666667,23.75,30,0.75
A-173.24x30P,A-173_Thomas_Sunday,0.481265628,0.791666667,23.75,30,0.0197
A-173.30x40M,A-173_Thomas_Sunday,25.34393333,0.791666667,31.66666667,40,0.75
A-173.30x40P,A-173_Thomas_Sunday,0.855583339,0.791666667,31.66666667,40,0.0197
A-173.40x50M,A-173_Thomas_Sunday,39.59989583,0.791666667,39.58333333,50,0.75
A-173.40x50P,A-173_Thomas_Sunday,1.336848967,0.791666667,39.58333333,50,0.0197
A-174.5x7M,A-174-Ascension,0.564077333,0.786666667,5.506666667,7,0.5
A-174.5x7P,A-174-Ascension,0.026036752,0.786666667,5.506666667,7,0.0197
A-174,A-174-Ascension,1.573865333,0.786666667,7.866666667,10,0.75
A-174P,A-174-Ascension,0.053136228,0.786666667,7.866666667,10,0.0197
A-174.11x14M,A-174-Ascension,3.084776053,0.786666667,11.01333333,14,0.75
A-174.11x14P,A-174-Ascension,0.104147008,0.786666667,11.01333333,14,0.0197
A-174.16x20M,A-174-Ascension,6.295461333,0.786666667,15.73333333,20,0.75
A-174.16x20P,A-174-Ascension,0.212544914,0.786666667,15.73333333,20,0.0197
A-174.20x24M,A-174-Ascension,9.06546432,0.786666667,18.88,24,0.75
A-174.20x24P,A-174-Ascension,0.306064676,0.786666667,18.88,24,0.0197
A-174.24x30M,A-174-Ascension,14.164788,0.786666667,23.6,30,0.75
A-174.24x30P,A-174-Ascension,0.478226056,0.786666667,23.6,30,0.0197
A-174.30x40M,A-174-Ascension,25.18184533,0.786666667,31.46666667,40,0.75
A-174.30x40P,A-174-Ascension,0.850179655,0.786666667,31.46666667,40,0.0197
A-174.40x50M,A-174-Ascension,39.34663333,0.786666667,39.33333333,50,0.75
A-174.40x50P,A-174-Ascension,1.328405711,0.786666667,39.33333333,50,0.0197
