SKU,name,weight,aspect_ratio,width,height,depth
A-15.5x7M,A015,0.504142266,0.699640288,4.897482014,7,0.5
A-15.5x7P,A015,0.023156391,0.699640288,4.897482014,7,0.0197
A-15,A015,1.397541187,0.699640288,6.996402878,10,0.75
A-15P,A015,0.04725794,0.699640288,6.996402878,10,0.0197
A-15.11x14M,A015,2.739180727,0.699640288,9.794964029,14,0.75
A-15.11x14P,A015,0.092625562,0.699640288,9.794964029,14,0.0197
A-15.16x20M,A015,5.590164748,0.699640288,13.99280576,20,0.75
A-15.16x20P,A015,0.18903176,0.699640288,13.99280576,20,0.0197
A-15.20x24M,A015,8.049837237,0.699640288,16.79136691,24,0.75
A-15.20x24P,A015,0.272205735,0.699640288,16.79136691,24,0.0197
A-15.24x30M,A015,12.57787068,0.699640288,20.98920863,30,0.75
A-15.24x30P,A015,0.42532146,0.699640288,20.98920863,30,0.0197
A-15.30x40M,A015,22.36065899,0.699640288,27.98561151,40,0.75
A-15.30x40P,A015,0.75612704,0.699640288,27.98561151,40,0.0197
A-15.40x50M,A015,34.93852968,0.699640288,34.98201439,50,0.75
A-15.40x50P,A015,1.1814485,0.699640288,34.98201439,50,0.0197
A-16.5x7M,A016,0.585946579,0.818421053,5.728947368,7,0.5
A-16.5x7P,A016,0.027087745,0.818421053,5.728947368,7,0.0197
A-16,A016,1.638202895,0.818421053,8.184210526,10,0.75
A-16P,A016,0.055281112,0.818421053,8.184210526,10,0.0197
A-16.11x14M,A016,3.210877674,0.818421053,11.45789474,14,0.75
A-16.11x14P,A016,0.108350979,0.818421053,11.45789474,14,0.0197
A-16.16x20M,A016,6.552811579,0.818421053,16.36842105,20,0.75
A-16.16x20P,A016,0.221124447,0.818421053,16.36842105,20,0.0197
A-16.20x24M,A016,9.436048674,0.818421053,19.64210526,24,0.75
A-16.20x24P,A016,0.318419204,0.818421053,19.64210526,24,0.0197
A-16.24x30M,A016,14.74382605,0.818421053,24.55263158,30,0.75
A-16.24x30P,A016,0.497530007,0.818421053,24.55263158,30,0.0197
A-16.30x40M,A016,26.21124632,0.818421053,32.73684211,40,0.75
A-16.30x40P,A016,0.88449779,0.818421053,32.73684211,40,0.0197
A-16.40x50M,A016,40.95507237,0.818421053,40.92105263,50,0.75
A-16.40x50P,A016,1.382027797,0.818421053,40.92105263,50,0.0197
A-84.5x7M,A084,0.706876048,0.994011976,6.958083832,7,0.5
A-84.5x7P,A084,0.032899377,0.994011976,6.958083832,7,0.0197
A-84,A084,1.44375,0.994011976,8.5625,8.625,0.75
A-84P,A084,0.049883816,0.994011976,8.5625,8.625,0.0197
A-84.11x14M,A084,3.908176623,0.994011976,13.91616766,14,0.75
A-84.11x14P,A084,0.131597508,0.994011976,13.91616766,14,0.0197
A-84.16x20M,A084,7.975870659,0.994011976,19.88023952,20,0.75
A-84.16x20P,A084,0.268566343,0.994011976,19.88023952,20,0.0197
A-84.20x24M,A084,11.48525375,0.994011976,23.85628743,24,0.75
A-84.20x24P,A084,0.386735534,0.994011976,23.85628743,24,0.0197
A-84.24x30M,A084,17.94570898,0.994011976,29.82035928,30,0.75
A-84.24x30P,A084,0.604274271,0.994011976,29.82035928,30,0.0197
A-84.30x40M,A084,31.90348263,0.994011976,39.76047904,40,0.75
A-84.30x40P,A084,1.074265371,0.994011976,39.76047904,40,0.0197
A-84.40x50M,A084,49.84919162,0.994011976,49.7005988,50,0.75
A-84.40x50P,A084,1.678539642,0.994011976,49.7005988,50,0.0197
A-96.5x7M,A096,0.606651515,0.848484848,5.939393939,7,0.5
A-96.5x7P,A096,0.028082783,0.848484848,5.939393939,7,0.0197
A-96,A096,1.699115152,0.848484848,8.484848485,10,0.75
A-96P,A096,0.057311803,0.848484848,8.484848485,10,0.0197
A-96.11x14M,A096,3.330265697,0.848484848,11.87878788,14,0.75
A-96.11x14P,A096,0.112331133,0.848484848,11.87878788,14,0.0197
A-96.16x20M,A096,6.796460606,0.848484848,16.96969697,20,0.75
A-96.16x20P,A096,0.22924721,0.848484848,16.96969697,20,0.0197
A-96.20x24M,A096,9.786903273,0.848484848,20.36363636,24,0.75
A-96.20x24P,A096,0.330115983,0.848484848,20.36363636,24,0.0197
A-96.24x30M,A096,15.29203636,0.848484848,25.45454545,30,0.75
A-96.24x30P,A096,0.515806223,0.848484848,25.45454545,30,0.0197
A-96.30x40M,A096,27.18584242,0.848484848,33.93939394,40,0.75
A-96.30x40P,A096,0.916988842,0.848484848,33.93939394,40,0.0197
A-96.40x50M,A096,42.47787879,0.848484848,42.42424242,50,0.75
A-96.40x50P,A096,1.432795065,0.848484848,42.42424242,50,0.0197
A-100.5x7M,A100,0.576619512,0.804878049,5.634146341,7,0.5
A-100.5x7P,A100,0.026639504,0.804878049,5.634146341,7,0.0197
A-100,A100,1.610763415,0.804878049,8.048780488,10,0.75
A-100P,A100,0.054366335,0.804878049,8.048780488,10,0.0197
A-100.11x14M,A100,3.157096293,0.804878049,11.26829268,14,0.75
A-100.11x14P,A100,0.106558017,0.804878049,11.26829268,14,0.0197
A-100.16x20M,A100,6.443053659,0.804878049,16.09756098,20,0.75
A-100.16x20P,A100,0.217465342,0.804878049,16.09756098,20,0.0197
