Sku,name,weight,aspect_ratio,width,height,depth
A-1.5x7M,A-1_Agony_of_Christ,0.575518033,1.244897959,7,5.62295082,0.5
A-1.5x7P,A-1_Agony_of_Christ,0.026586569,1.244897959,7,5.62295082,0.0197
A-1,A-1_Agony_of_Christ,1.607522951,1.244897959,10,8.032786885,0.75
A-1P,A-1_Agony_of_Christ,0.054258305,1.244897959,10,8.032786885,0.0197
A-1.11x14M,A-1_Agony_of_Christ,3.150744984,1.244897959,14,11.24590164,0.75
A-1.11x14P,A-1_Agony_of_Christ,0.106346278,1.244897959,14,11.24590164,0.0197
A-1.16x20M,A-1_Agony_of_Christ,6.430091803,1.244897959,20,16.06557377,0.75
A-1.16x20P,A-1_Agony_of_Christ,0.21703322,1.244897959,20,16.06557377,0.0197
A-1.20x24M,A-1_Agony_of_Christ,9.259332197,1.244897959,24,19.27868852,0.75
A-1.20x24P,A-1_Agony_of_Christ,0.312527836,1.244897959,24,19.27868852,0.0197
A-1.24x30M,A-1_Agony_of_Christ,14.46770656,1.244897959,30,24.09836066,0.75
A-1.24x30P,A-1_Agony_of_Christ,0.488324745,1.244897959,30,24.09836066,0.0197
A-1.30x40M,A-1_Agony_of_Christ,25.72036721,1.244897959,40,32.13114754,0.75
A-1.30x40P,A-1_Agony_of_Christ,0.868132879,1.244897959,40,32.13114754,0.0197
A-1.40x50M,A-1_Agony_of_Christ,40.18807377,1.244897959,50,40.16393443,0.75
A-1.40x50P,A-1_Agony_of_Christ,1.356457624,1.244897959,50,40.16393443,0.0197
A-2.5x7M,A-2_Epitaphios_Greek_Inscription,0.56846168,1.260981912,7,5.551229508,0.5
A-2.5x7P,A-2_Epitaphios_Greek_Inscription,0.026247455,1.260981912,7,5.551229508,0.0197
A-2,A-2_Epitaphios_Greek_Inscription,1.58676373,1.260981912,10,7.930327869,0.75
A-2P,A-2_Epitaphios_Greek_Inscription,0.053566235,1.260981912,10,7.930327869,0.0197
A-2.11x14M,A-2_Epitaphios_Greek_Inscription,3.11005691,1.260981912,14,11.10245902,0.75
A-2.11x14P,A-2_Epitaphios_Greek_Inscription,0.10498982,1.260981912,14,11.10245902,0.0197
A-2.16x20M,A-2_Epitaphios_Greek_Inscription,6.347054918,1.260981912,20,15.86065574,0.75
A-2.16x20P,A-2_Epitaphios_Greek_Inscription,0.214264939,1.260981912,20,15.86065574,0.0197
A-2.20x24M,A-2_Epitaphios_Greek_Inscription,9.139759082,1.260981912,24,19.03278689,0.75
A-2.20x24P,A-2_Epitaphios_Greek_Inscription,0.308541512,1.260981912,24,19.03278689,0.0197
A-2.24x30M,A-2_Epitaphios_Greek_Inscription,14.28087357,1.260981912,30,23.79098361,0.75
A-2.24x30P,A-2_Epitaphios_Greek_Inscription,0.482096113,1.260981912,30,23.79098361,0.0197
A-2.30x40M,A-2_Epitaphios_Greek_Inscription,25.38821967,1.260981912,40,31.72131148,0.75
A-2.30x40P,A-2_Epitaphios_Greek_Inscription,0.857059756,1.260981912,40,31.72131148,0.0197
A-2.40x50M,A-2_Epitaphios_Greek_Inscription,39.66909324,1.260981912,50,39.65163934,0.75
A-2.40x50P,A-2_Epitaphios_Greek_Inscription,1.339155868,1.260981912,50,39.65163934,0.0197
A-3.5x7M,A-3_Jesus_Christ_Detail_by_Kontoglou,0.553746833,0.771666667,5.401666667,7,0.5
A-3.5x7P,A-3_Jesus_Christ_Detail_by_Kontoglou,0.025540288,0.771666667,5.401666667,7,0.0197
A-3,A-3_Jesus_Christ_Detail_by_Kontoglou,1.543473833,0.771666667,7.716666667,10,0.75
A-3P,A-3_Jesus_Christ_Detail_by_Kontoglou,0.052123038,0.771666667,7.716666667,10,0.0197
A-3.11x14M,A-3_Jesus_Christ_Detail_by_Kontoglou,3.025208713,0.771666667,10.80333333,14,0.75
A-3.11x14P,A-3_Jesus_Christ_Detail_by_Kontoglou,0.102161154,0.771666667,10.80333333,14,0.0197
A-3.16x20M,A-3_Jesus_Christ_Detail_by_Kontoglou,6.173895333,0.771666667,15.43333333,20,0.75
A-3.16x20P,A-3_Jesus_Christ_Detail_by_Kontoglou,0.20849215,0.771666667,15.43333333,20,0.0197
A-3.20x24M,A-3_Jesus_Christ_Detail_by_Kontoglou,8.89040928,0.771666667,18.52,24,0.75
A-3.20x24P,A-3_Jesus_Christ_Detail_by_Kontoglou,0.300228697,0.771666667,18.52,24,0.0197
A-3.24x30M,A-3_Jesus_Christ_Detail_by_Kontoglou,13.8912645,0.771666667,23.15,30,0.75
A-3.24x30P,A-3_Jesus_Christ_Detail_by_Kontoglou,0.469107339,0.771666667,23.15,30,0.0197
A-3.30x40M,A-3_Jesus_Christ_Detail_by_Kontoglou,24.69558133,0.771666667,30.86666667,40,0.75
A-3.30x40P,A-3_Jesus_Christ_Detail_by_Kontoglou,0.833968602,0.771666667,30.86666667,40,0.0197
A-3.40x50M,A-3_Jesus_Christ_Detail_by_Kontoglou,38.58684583,0.771666667,38.58333333,50,0.75
A-3.40x50P,A-3_Jesus_Christ_Detail_by_Kontoglou,1.303075941,0.771666667,38.58333333,50,0.0197
A-4.5x7M,A-4_Emmanuel,0.629503833,0.881666667,6.171666667,7,0.5
A-4.5x7P,A-4_Emmanuel,0.029181021,0.881666667,6.171666667,7,0.0197
A-4,A-4_Emmanuel,1.766344833,0.881666667,8.816666667,10,0.75
A-4P,A-4_Emmanuel,0.059553103,0.881666667,8.816666667,10,0.0197
A-4.11x14M,A-4_Emmanuel,3.462035873,0.881666667,12.34333333,14,0.75
A-4.11x14P,A-4_Emmanuel,0.116724083,0.881666667,12.34333333,14,0.0197
A-4.16x20M,A-4_Emmanuel,7.065379333,0.881666667,17.63333333,20,0.75
A-4.16x20P,A-4_Emmanuel,0.238212414,0.881666667,17.63333333,20,0.0197
A-4.20x24M,A-4_Emmanuel,10.17414624,0.881666667,21.16,24,0.75
A-4.20x24P,A-4_Emmanuel,0.343025876,0.881666667,21.16,24,0.0197
A-4.24x30M,A-4_Emmanuel,15.8971035,0.881666667,26.45,30,0.75
A-4.24x30P,A-4_Emmanuel,0.535977931,0.881666667,26.45,30,0.0197
A-4.30x40M,A-4_Emmanuel,28.26151733,0.881666667,35.26666667,40,0.75
A-4.30x40P,A-4_Emmanuel,0.952849656,0.881666667,35.26666667,40,0.0197
A-4.40x50M,A-4_Emmanuel,44.15862083,0.881666667,44.08333333,50,0.75
A-4.40x50P,A-4_Emmanuel,1.488827587,0.881666667,44.08333333,50,0.0197
A-5.5x7M,A-5_Lightgiver,0.5009465,0.695,4.865,7,0.5
A-5.5x7P,A-5_Lightgiver,0.023002808,0.695,4.865,7,0.0197
A-5,A-5_Lightgiver,1.3881395,0.695,6.95,10,0.75
A-5P,A-5_Lightgiver,0.046944507,0.695,6.95,10,0.0197
A-5.11x14M,A-5_Lightgiver,2.72075342,0.695,9.73,14,0.75
A-5.11x14P,A-5_Lightgiver,0.092011234,0.695,9.73,14,0.0197
A-5.16x20M,A-5_Lightgiver,5.552558,0.695,13.9,20,0.75
A-5.16x20P,A-5_Lightgiver,0.187778028,0.695,13.9,20,0.0197
A-5.20x24M,A-5_Lightgiver,7.99568352,0.695,16.68,24,0.75
A-5.20x24P,A-5_Lightgiver,0.27040036,0.695,16.68,24,0.0197
A-5.24x30M,A-5_Lightgiver,12.4932555,0.695,20.85,30,0.75
A-5.24x30P,A-5_Lightgiver,0.422500562,0.695,20.85,30,0.0197
A-5.30x40M,A-5_Lightgiver,22.210232,0.695,27.8,40,0.75
A-5.30x40P,A-5_Lightgiver,0.75111211,0.695,27.8,40,0.0197
A-5.40x50M,A-5_Lightgiver,34.7034875,0.695,34.75,50,0.75
A-5.40x50P,A-5_Lightgiver,1.173612672,0.695,34.75,50,0.0197
A-6.5x7M,A-6_Christ_Pantocrator,0.567520833,0.791666667,5.541666667,7,0.5
A-6.5x7P,A-6_Christ_Pantocrator,0.02620224,0.791666667,5.541666667,7,0.0197
A-6,A-6_Christ_Pantocrator,1.583995833,0.791666667,7.916666667,10,0.75
A-6P,A-6_Christ_Pantocrator,0.053473959,0.791666667,7.916666667,10,0.0197
A-6.11x14M,A-6_Christ_Pantocrator,3.104631833,0.791666667,11.08333333,14,0.75
A-6.11x14P,A-6_Christ_Pantocrator,0.104808959,0.791666667,11.08333333,14,0.0197
A-6.16x20M,A-6_Christ_Pantocrator,6.335983333,0.791666667,15.83333333,20,0.75
A-6.16x20P,A-6_Christ_Pantocrator,0.213895835,0.791666667,15.83333333,20,0.0197
A-6.20x24M,A-6_Christ_Pantocrator,9.123816,0.791666667,19,24,0.75
A-6.20x24P,A-6_Christ_Pantocrator,0.308010002,0.791666667,19,24,0.0197
A-6.24x30M,A-6_Christ_Pantocrator,14.2559625,0.791666667,23.75,30,0.75
A-6.24x30P,A-6_Christ_Pantocrator,0.481265628,0.791666667,23.75,30,0.0197
A-6.30x40M,A-6_Christ_Pantocrator,25.34393333,0.791666667,31.66666667,40,0.75
A-6.30x40P,A-6_Christ_Pantocrator,0.855583339,0.791666667,31.66666667,40,0.0197
A-6.40x50M,A-6_Christ_Pantocrator,39.59989583,0.791666667,39.58333333,50,0.75
A-6.40x50P,A-6_Christ_Pantocrator,1.336848967,0.791666667,39.58333333,50,0.0197
A-7.5x7M,A-7_Resurrection,0.530790167,0.738333333,5.168333333,7,0.5
A-7.5x7P,A-7_Resurrection,0.024437036,0.738333333,5.168333333,7,0.0197
A-7,A-7_Resurrection,1.475937167,0.738333333,7.383333333,10,0.75
A-7P,A-7_Resurrection,0.049871503,0.738333333,7.383333333,10,0.0197
A-7.11x14M,A-7_Resurrection,2.892836847,0.738333333,10.33666667,14,0.75
A-7.11x14P,A-7_Resurrection,0.097748145,0.738333333,10.33666667,14,0.0197
A-7.16x20M,A-7_Resurrection,5.903748667,0.738333333,14.76666667,20,0.75
A-7.16x20P,A-7_Resurrection,0.19948601,0.738333333,14.76666667,20,0.0197
A-7.20x24M,A-7_Resurrection,8.50139808,0.738333333,17.72,24,0.75
A-7.20x24P,A-7_Resurrection,0.287259855,0.738333333,17.72,24,0.0197
A-7.24x30M,A-7_Resurrection,13.2834345,0.738333333,22.15,30,0.75
A-7.24x30P,A-7_Resurrection,0.448843523,0.738333333,22.15,30,0.0197
A-7.30x40M,A-7_Resurrection,23.61499467,0.738333333,29.53333333,40,0.75
A-7.30x40P,A-7_Resurrection,0.79794404,0.738333333,29.53333333,40,0.0197
A-7.40x50M,A-7_Resurrection,36.89842917,0.738333333,36.91666667,50,0.75
A-7.40x50P,A-7_Resurrection,1.246787563,0.738333333,36.91666667,50,0.0197
A-8.5x7M,A-8_Deisis_Christ_Theotokos_Forerunner_(Baptist),0.646721333,0.906666667,6.346666667,7,0.5
A-8.5x7P,A-8_Deisis_Christ_Theotokos_Forerunner_(Baptist),0.03000846,0.906666667,6.346666667,7,0.0197
A-8,A-8_Deisis_Christ_Theotokos_Forerunner_(Baptist),1.98125,0.906666667,9.25,10.125,0.75
A-8P,A-8_Deisis_Christ_Theotokos_Forerunner_(Baptist),0.0632611,0.906666667,9.25,10.125,0.0197
A-8.11x14M,A-8_Deisis_Christ_Theotokos_Forerunner_(Baptist),3.561314773,0.906666667,12.69333333,14,0.75
A-8.11x14P,A-8_Deisis_Christ_Theotokos_Forerunner_(Baptist),0.120033839,0.906666667,12.69333333,14,0.0197
A-8.16x20M,A-8_Deisis_Christ_Theotokos_Forerunner_(Baptist),7.267989333,0.906666667,18.13333333,20,0.75
A-8.16x20P,A-8_Deisis_Christ_Theotokos_Forerunner_(Baptist),0.244967019,0.906666667,18.13333333,20,0.0197
A-8.20x24M,A-8_Deisis_Christ_Theotokos_Forerunner_(Baptist),10.46590464,0.906666667,21.76,24,0.75
A-8.20x24P,A-8_Deisis_Christ_Theotokos_Forerunner_(Baptist),0.352752508,0.906666667,21.76,24,0.0197
A-8.24x30M,A-8_Deisis_Christ_Theotokos_Forerunner_(Baptist),16.352976,0.906666667,27.2,30,0.75
A-8.24x30P,A-8_Deisis_Christ_Theotokos_Forerunner_(Baptist),0.551175793,0.906666667,27.2,30,0.0197
A-8.30x40M,A-8_Deisis_Christ_Theotokos_Forerunner_(Baptist),29.07195733,0.906666667,36.26666667,40,0.75
A-8.30x40P,A-8_Deisis_Christ_Theotokos_Forerunner_(Baptist),0.979868077,0.906666667,36.26666667,40,0.0197
A-8.40x50M,A-8_Deisis_Christ_Theotokos_Forerunner_(Baptist),45.42493333,0.906666667,45.33333333,50,0.75
A-8.40x50P,A-8_Deisis_Christ_Theotokos_Forerunner_(Baptist),1.53104387,0.906666667,45.33333333,50,0.0197
A-9.5x7M,A-9_Burning_Bush,0.57326,0.8,5.6,7,0.5
A-9.5x7P,A-9_Burning_Bush,0.026478053,0.8,5.6,7,0.0197
A-9,A-9_Burning_Bush,1.60088,0.8,8,10,0.75
A-9P,A-9_Burning_Bush,0.054036842,0.8,8,10,0.0197
A-9.11x14M,A-9_Burning_Bush,3.1377248,0.8,11.2,14,0.75
A-9.11x14P,A-9_Burning_Bush,0.105912211,0.8,11.2,14,0.0197
A-9.16x20M,A-9_Burning_Bush,6.40352,0.8,16,20,0.75
A-9.16x20P,A-9_Burning_Bush,0.21614737,0.8,16,20,0.0197
A-9.20x24M,A-9_Burning_Bush,9.2210688,0.8,19.2,24,0.75
